municipio	x_etrs_utm	y_etrs_utm	altura_ort
Almonaster la Real	160254.887	4196283.181	446
Almonte	184866.647	4099740.23	19
Alosno	136115.947	4169975.754	256
Aracena	186847.944	4192305.463	517
Aroche	161060.694	4209306.797	566
Arroyomolinos de LeÃ³n	198343.656	4206793.676	374
Beas	159326.113	4157280.032	201
Bollullos Par del Condado	186705.379	4137429.345	93
Cabezas Rubias	135801.399	4190380.137	269
Cala	205461.576	4211417.072	621
CalaÃ±as	159685.475	4176322.97	250
CaÃ±averal de LeÃ³n	190223.544	4211638.426	443
Cartaya	122714.07	4143566.06	52
Cortegana	162564.446	4204267.179	605
Cumbres de Enmedio	175055.547	4220404.909	590
Cumbres de San BartolomÃ©	173903.816	4221762.433	485
El Almendro	124146.525	4163229.466	221
El Cerro de AndÃ©valo	141377.138	4175777.873	207
El Granado	102897.379	4167897.083	123
Encinasola	161061.215	4230705.713	416
Escacena del Campo	200370.761	4145691.56	173
GibraleÃ³n	144347.802	4139519.873	17
Higuera de la Sierra	196199.916	4194128.929	620
Hinojos	202807.385	4117642.547	8
Huelva	157244.426	4135586.981	10
La Granada de RÃ­o-Tinto	188114.849	4189168.319	356
La Palma del Condado	186842.819	4146447.427	69
Lepe	127883.637	4130305.621	16
Los Marines	181844.234	4201172.728	729
Lucena del Puerto	165996.726	4134238.018	74
Moguer	163225.424	4131652.839	83
Nerva	189413.326	4175118.229	304
Niebla	178156.376	4159506.025	309
Palos de la Frontera	152816.5	4126771.233	6
Paterna del Campo	189608.139	4154259.797	166
Paymogo	117909.43	4180140.239	170
Puebla de GuzmÃ¡n	130842.052	4177341.421	191
Punta UmbrÃ­a	142482.215	4125156.293	6
Rociana del Condado	181368.293	4134102.089	75
Rosal de la Frontera	132322.792	4214398.516	359
San BartolomÃ© de la Torre	136390.912	4152625.833	120
San Juan del Puerto	165145.721	4136805.836	12
SanlÃºcar de Guadiana	107677.964	4158790.08	122
Santa Ana la Real	174078.262	4193500.406	375
Santa BÃ¡rbara de Casa	129700.135	4196445.555	275
Santa Olalla del Cala	219277.821	4202174.135	458
Trigueros	162282.311	4137287.808	12
Valverde del Camino	165820.469	4161728.168	266
Villablanca	114929.882	4141657.875	121
Villanueva de los Castillejos	130891.49	4158732.181	167
Villarrasa	181224.8	4143766.657	72
Zalamea la Real	170254.814	4172402.305	304
Zufre	205180.245	4192351.93	455
